year,"Gas(TWh,direct energy)","Oil(TWh,direct energy)","Cole(TWh,direct energy)",Nuclear (% direct primary energy),Renewables (% direct primary energy),Fossil fuels (% direct primary energy),Annual_GHG_emision_(in_billion_tons),Global_average_temperature,Global_warming_contribution_from_fossil_fuels,Co2_emissions_from_fossil_fuels(in billion tons),number_death_from_natural_disasters,Ocean_acidification(in_PH)
1950,2092,5444,12603,0.5,1,98.5,16.52,-0.2266218,0.15122315,5929342000,6845,8.15
1951,2200,6000,12800,0.5,1,98.5,17.18,-0.06115396,0.15553942,6381405700,18227,8.15
1952,2400,6500,13000,0.5,1,98.5,17.51,0.015354548,0.1600214,6467437000,6886,8.15
1953,2600,7000,13200,0.5,1,98.5,17.92,0.07763075,0.16464329,6650861600,12516,8.15
1954,2700,7500,13500,0.5,1,98.5,18.35,-0.11675023,0.16936749,6789497300,41847,8.15
1955,2800,8000,13800,0.5,1,98.5,19.42,-0.19730994,0.17463258,7443861000,5556,8.15
1956,3000,8500,14000,0.5,1,98.5,20.26,-0.26316562,0.18019839,7925980700,7737,8.15
1957,3300,9000,14300,0.5,1,98.5,20.84,-0.035334915,0.18598497,8185614000,10580,8.15
1958,3800,9500,14800,0.5,1,98.5,21.43,-0.017632563,0.19202381,8417160000,4061,8.15
1959,4200,10000,15000,0.5,1,98.5,22.5,-0.048004813,0.19852163,8854662000,496147,8.15
1960,4472,11090,15442,0.611,2.285,97.105,22.24,-0.11545958,0.20536186,9386421000,997729,8.15
1961,4650,13050,15600,0.612,2.286,97.102,22.09,-0.019999769,0.21223594,9414383000,576437,8.149
1962,5150,15000,15500,0.613,2.287,97.1,22.07,-0.06404272,0.2193359,9746556000,17239,8.148
1963,5700,16000,15800,0.614,2.288,97.098,22.57,-0.036810614,0.22684613,10266046000,36431,8.147
1964,6000,17000,15900,0.615,2.289,97.096,22.12,-0.30586153,0.23471947,10823619000,12275,8.146
1965,6303.8203,18012.52,16177.694,0.061586335,2.2913384,97.64707,23.28,-0.20442048,0.24317719,11309690000,564713,8.145
1966,6868.814,19427.398,16359.431,0.07878947,2.3175411,97.603676,23.92,-0.1488976,0.2520855,11861708000,517018,8.144
1967,7374.058,20779.828,16095.517,0.090470046,2.2837303,97.6258,24.55,-0.117539294,0.26106375,12236328000,506507,8.143
1968,8044.3477,22511.285,16333.143,0.10849709,2.2713315,97.62018,25.41,-0.16864756,0.27042642,12904336000,22196,8.142
1969,8833.434,24446.174,16847,0.12033437,2.2490344,97.63063,26.17,-0.03138624,0.2805095,13760840000,8396,8.141
1970,9614.809,26672.713,17087.004,0.14428136,2.220439,97.635284,27.68,-0.08506408,0.29120082,14898157000,386150,8.14
1971,10293.19,28117.908,16986.387,0.19322318,2.2345624,97.57221,27.97,-0.20588905,0.3020562,15502787000,15774,8.138
1972,10861.713,30331.375,17168.227,0.2542914,2.2213871,97.52432,28.86,-0.09379131,0.31332543,16223440000,20023,8.136
1973,11377.832,32722.135,17683.568,0.32193226,2.130451,97.547615,29.78,0.04995016,0.32514322,17083500000,12257,8.134
1974,11659.859,32224.648,17696.432,0.420987,2.336833,97.24218,29.66,-0.17252657,0.336814,17009382000,87458,8.132
1975,11659.736,31992.346,18045.436,0.58184487,2.355683,97.06248,29.95,-0.110754214,0.34829375,17049979000,55614,8.13
1976,12354.139,34059.953,18699.785,0.6453715,2.2309504,97.12368,31.03,-0.2158369,0.36018568,17985243000,308866,8.128
1977,12759.838,35189.734,19267.412,0.7770533,2.237719,96.98523,31.67,0.1030885,0.37227213,18494652000,40877,8.126
1978,13293.947,36703.98,19467.49,0.8719191,2.3419428,96.78613,32.18,0.005255972,0.3846351,19063955000,54747,8.124
1979,14118.029,37182.266,20370.578,0.87845486,2.3885543,96.73299,32.73,0.09085814,0.39721063,19603001000,6829,8.122
1980,14236.961,35561.332,20877.783,0.97254527,2.478292,96.549164,32.77,0.19607204,0.40938342,19482442000,21313,8.12
1981,14395.873,34295.703,21158.002,1.1589772,2.5531912,96.287834,32.38,0.25001204,0.42100814,19016950000,34082,8.118
1982,14469.731,33270.605,21395.426,1.2678266,2.641058,96.09112,32.42,0.034268282,0.43258414,18865373000,31593,8.116
1983,14703.826,33099.758,22050.97,1.4184446,2.737489,95.84406,33.1,0.22380984,0.4440453,18985900000,192666,8.114
1984,15902.676,33624.367,23008.44,1.6536716,2.7358596,95.610466,34.68,0.04799352,0.45587537,19641730000,263563,8.113
